frequency	grapheme
0.0458333333	ʎ
0.0449074074	əː
0.0449074074	ɭ
0.0449074074	ð
0.0444444444	tsʼ
0.0444444444	tsʰ
0.0439814815	ŋmɡb
0.0425925926	ŋm
0.0416666667	ɪ̃
0.0402777778	θ
0.0388888889	y
0.0388888889	ʊ̃
0.0375	kʲ
0.0375	z̪
0.0365740741	ɦ
0.0365740741	mː
0.0361111111	ʊː
0.0356481481	ũː
0.0356481481	ʈʰ
0.0356481481	ĩː
0.0356481481	nː
0.0356481481	ɪː
0.0351851852	ə̃
0.0351851852	t̪s̪
0.0337962963	ɨː
0.0319444444	xʷ
0.0319444444	r̪
0.0314814815	õ̞
0.0314814815	˥
0.0305555556	kː
0.0305555556	hʷ
0.0300925926	qʼ
0.0300925926	ʁ
0.0300925926	lː
0.0296296296	ãː
0.0282407407	tʲ
0.0273148148	ɡʲ
0.0273148148	ai
0.0259259259	mʷ
0.0259259259	ŋɡʷ
0.025462963	ħ
0.025462963	ʈʂ
0.025462963	t̪ʼ
0.025	bʷ
0.024537037	b̤
0.024537037	˩
0.024537037	cʰ
0.0240740741	ø
0.0240740741	bː
0.0240740741	˥˩
0.0240740741	ndz
0.0236111111	sː
0.0231481481	ẽ̞
0.0226851852	kʷʼ
0.0222222222	ʝ
0.0222222222	ʉ
0.0222222222	ɑː
0.0222222222	au
0.0217592593	ɤ
0.0217592593	pː
0.0217592593	tː
0.0217592593	nz
0.0217592593	ɱv
0.0217592593	ɡʰ
0.0212962963	cçʰ
0.0212962963	qʷ
0.0212962963	n̠
0.0208333333	ɡː
0.0208333333	m̥
0.0208333333	ʄ
0.0203703704	qʰ
0.0203703704	œ
0.0203703704	pʲ
0.0199074074	õː
0.0199074074	mʲ
0.0199074074	ɮ
0.0199074074	fʷ
0.0194444444	æː
0.0194444444	ɥ
0.0189814815	dʲ
0.0189814815	ʕ
0.0189814815	a̟
0.0189814815	jː
0.0189814815	pʷ
0.0185185185	χʷ
0.0185185185	ɐ
0.0185185185	ɹ
0.0185185185	ŋk
0.0185185185	d̪z̪
0.0180555556	ɖ̤
0.0180555556	d̪̤
0.0180555556	ɒ
0.0180555556	ʐ
0.0180555556	ɻ
0.0180555556	nt
0.0175925926	rː
0.0175925926	ɘ
0.0175925926	˩˥
0.0171296296	kʷʰ
0.0171296296	bʲ
0.0171296296	pf
0.0171296296	*R̪
0.0166666667	dː
0.0166666667	æ̃
0.0166666667	ɲː
0.0166666667	ɲɟ
0.0166666667	ẽː
0.0166666667	t̪s̪ʰ
0.0166666667	sʷ
0.0162037037	n̥
0.0162037037	mp
0.0162037037	n̪d̪
0.0162037037	tʷ
0.0157407407	lʲ
0.0157407407	ʋ
0.0157407407	ɰ
0.0157407407	ɯ̃
0.0157407407	ɾ̪
0.0152777778	o̞ː
0.0152777778	wː
0.0152777778	˨˧
0.0152777778	ɛ̃ː
0.0152777778	j̰
0.0152777778	w̰
0.0148148148	ʍ
0.0148148148	fː
0.0148148148	ɔ̃ː
0.0143518519	ɯː
0.0143518519	ɢ
0.0143518519	ŋː
0.0143518519	˧˨
0.0143518519	ɺ
0.0138888889	ɜ
0.0138888889	ɑ̃
0.0138888889	hʲ
0.0138888889	ɬ̪
0.0134259259	e̞ː
0.0134259259	t̠ʃː
0.0134259259	ʃː
0.012962963	nʲ
0.012962963	ʃʷ
0.012962963	ⱱ
0.0125	ŋ̥
0.0125	ɕ
0.0125	æ̞̃
0.012037037	β̞
0.012037037	l̥
0.012037037	m̰
0.012037037	ɟ̤ʝ
0.0115740741	ɲ̥
0.0115740741	ia
0.0115740741	ui
0.0111111111	tɬʼ
0.0111111111	t̠ʃʷ
0.0111111111	t̪s̪ʼ
0.0111111111	tɕ
