id	rule	source	target	weight	test
55	a -> ə / _ C a	a C a	ə @2 a	2	a k a n k m i k s / ə k a n k m i k s
56	a -> ə / _ C e	a C e	ə @2 e	1	a k e l e j a p a / ə k e l e j a p a
57	a -> ɛ / t|n _ #	t|n a #	@1 ɛ #	1	c u a c t a / c u a c t ɛ
58	a -> ɜ / _ w o	a w o	ɜ w o	1	b a w o g aː j / b ɜ w o g aː j
59	aː j -> a i	aː j	a i	1	b a w o g aː j / b a w o g a i
60	b -> m / # _	# b	# m	1	b a w o g aː j / m a w o g aː j
61	b -> m / # _ V n	# b V n	# m @3 n	1	b o n b j a r i b l i / m o n b j a r i b l i
62	b -> m / # _ a	# b a	# m a	2	b a w o g aː j / m a w o g aː j
63	b -> m / V _ V	V b V	@1 m @3	1	p i b a j / p i m a j
64	b -> m / _ V N	b V N	m @2 @3	1	b e ŋ j e k e y / m e ŋ j e k e y
65	b -> m / _ j	b j	m j	1	b o n b j a r i b l i / b o n m j a r i b l i
66	b -> p / # _	# b	# p	2	b a w o g aː j / p a w o g aː j
67	b -> pʰ / _ l|r	b l|r	pʰ @2	1	b o n b j a r i b l i / b o n b j a r i pʰ l i
68	b -> u / V _ l|r	V b l|r	@1 u @3	1	b o n b j a r i b l i / b o n b j a r i u l i
69	b -> u / _ C	b C	u @2	1	a b ts a r i m b s u / a u ts a r i m u s u
70	b -> v / V _	V b	@1 v	2	a b ts a r i m b s u / a v ts a r i m b s u
71	b -> v / V _ V	V b V	@1 v @3	1	p i b a j / p i v a j
72	b -> v / V _ V|r	V b V|r	@1 v @3	1	p i b a j / p i v a j
73	b -> w / V _ V	V b V	@1 w @3	3	p i b a j / p i w a j
74	w -> b / a _ u	a w u	a b u	1	b i a w u b / b i a b u b
75	b -> :null: / # _ B	# b B	# @3	1	b o n b j a r i b l i / o n b j a r i b l i
76	b -> :null: / # _ u|i	# b u|i	# @3	1	b i a w u b / i a w u b
77	b -> :null: / V _ V	V b V	@1 @3	1	p i b a j / p i a j
78	b -> :null: / _ #	b #	#	1	b i a w u b / b i a w u
79	b -> :null: / _ s t|k	b s t|k	s @3	1	u b s t i m b l a / u s t i m b l a
80	b -> :null: / _ ts	b ts	ts	1	a b ts a r i m b s u / a ts a r i m b s u
81	b -> :null: / m _ l	m b l	m l	1	u b s t i m b l a / u b s t i m l a
82	b -> :null: / m _ s	m b s	m s	1	a b ts a r i m b s u / a b ts a r i m s u
83	b -> :null: / u _ #	u b #	u #	1	b i a w u b / b i a w u
84	b -> β / V _ V	V b V	@1 β @3	3	p i b a j / p i β a j
85	c -> p / _ s|t	c s|t	p @2	1	c u a c t a / c u a p t a
86	c -> s / # _ a|u	# c a|u	# s @3	1	c u a c t a / s u a c t a
87	c -> s / _ a|o|u|e	c a|o|u|e	s @2	1	c u a c t a / s u a c t a
88	c -> tʃ / i _	i c	i tʃ	1	d n i c t r i a / d n i tʃ t r i a
89	d -> g / _ n	d n	g n	1	d n i c t r i a / g n i c t r i a
90	d -> k / _ w	d w	k w	1	d w a j d ŋ e d / k w a j d ŋ e d
91	ŋ -> k / d _	d ŋ	d k	1	d w a j d ŋ e d / d w a j d k e d
92	d -> l / # _	# d	# l	2	d i a z e i l e n / l i a z e i l e n
