id	rule	source	target	weight	test
309	k -> h / _ t|ts|s|ʃ	k t|ts|s|ʃ	h @2	1	a k a n k m i k s / a k a n k m i h s
310	k -> j / _ s #	k s #	j s #	3	a k a n k m i k s / a k a n k m i j s
311	k -> j / e|a|o _	e|a|o k	@1 j	1	a k a n k m i k s / a j a n k m i k s
312	k -> kʷ / # _ i	# k i	# kʷ i	1	k i k t a k s u / kʷ i k t a k s u
313	k -> kʷ / _ a	k a	kʷ a	1	a k a n k m i k s / a kʷ a n k m i k s
314	k -> p / _ s|ʂ	k s|ʂ	p @2	1	a k a n k m i k s / a k a n k m i p s
315	k -> s̪ / _ i|ɨ|u	k i|ɨ|u	s̪ @2	1	i k u l o i / i s̪ u l o i
316	k -> s̪ / i|ɨ|u _	i|ɨ|u k	@1 s̪	1	a k a n k m i k s / a k a n k m i s̪ s
317	k -> t / _ l	k l	t l	1	k l o j e k j a / t l o j e k j a
318	k -> w / V _	V k	@1 w	1	a k a n k m i k s / a w a n k m i w s
319	k -> x / V _ t	V k t	@1 x t	1	k i k t a k s u / k i x t a k s u
320	k -> x / _ p|t	k p|t	x @2	1	k i k t a k s u / k i x t a k s u
321	k -> x / a _	a k	a x	1	a k a n k m i k s / a x a n k m i k s
322	k -> :null: / V _ V	V k V	@1 @3	4	a k a n k m i k s / a a n k m i k s
323	k -> :null: / _ #	k #	#	4	a ə ɔ̃ l ɔ k / a ə ɔ̃ l ɔ
324	N -> :null: / k _ #	k N #	k #	1	a k a n k m / a k a n k
325	k -> ç / _ #	k #	ç #	1	a ə ɔ̃ l ɔ k / a ə ɔ̃ l ɔ ç
326	k -> ʂ / _ i	k i	ʂ i	1	k i k t a k s u / ʂ i k t a k s u
327	k -> ʂ / i _	i k	i ʂ	1	a k a n k m i k s / a k a n k m i ʂ s
328	k -> ʔ / _ #	k #	ʔ #	1	a ə ɔ̃ l ɔ k / a ə ɔ̃ l ɔ ʔ
329	k -> ts / _ E	k E	ts @2	1	a k a n k m i k s / a ts a n k m i k s
330	k -> ts / _ i	k i	ts @2	2	k i k t a k s u / ts i k t a k s u
331	k -> tʃ / _ E	k E	tʃ @2	3	a k a n k m i k s / a tʃ a n k m i k s
332	k -> tʃ / _ i	k i	tʃ i	2	k i k t a k s u / tʃ i k t a k s u
333	k s -> ʃ / V _ V	V k s V	@1 ʃ @4	1	k i k t a k s u / k i k t a ʃ u
334	k s -> ts / _ V	k s V	ts @3	1	k i k t a k s u / k i k t a ts u
335	k w -> q / _ a	k w a	q a	1	k w a h o w t / q a h o w t
336	kʰ -> h / _ a	kʰ a	h a	1	kʰ a kʲ ã l o / h a kʲ ã l o
337	kʰ -> x / # _	# kʰ	# x	1	kʰ a kʲ ã l o / x a kʲ ã l o
338	kʲ -> k / _ a|ã	kʲ a|ã	k @2	1	kʰ a kʲ ã l o / kʰ a k ã l o
339	kʷ -> k / # _	# kʷ	# k	4	kʷ l i n l a l i / k l i n l a l i
340	kʷ -> k / C _ V	C kʷ V	@1 k @3	1	l i l k aː r kʷ a / l i l k aː r k a
341	l -> d / # _ V C	# l V C	# d @3 @4	2	l a b j o p l ɔ l / d a b j o p l ɔ l
342	l -> d / _ C|#	l C|#	d @2	1	d j u d ẽ l / d j u d ẽ d
343	l -> d / n _	n l	n d	1	kʷ l i n l a l i / kʷ l i n d a l i
344	l -> h / _ k	l k	h k	4	l i l k aː r kʷ a / l i h k aː r kʷ a
345	l -> j / # C _	# C l	# @2 j	1	k l o j e k j a / k j o j e k j a
346	l -> j / # _ i|i+C	# l (i|i C)	# j @3	1	l i l k aː r kʷ a / j i l k aː r kʷ a
347	l -> j / a _ i	a l i	a j i	1	kʷ l i n l a l i / kʷ l i n l a j i
348	l -> j / p _	p l	p j	10	l a b j o p l ɔ l / l a b j o p j ɔ l
349	l -> j / k|g _	k|g l	@1 j	1	k l o j e k j a / k j o j e k j a
350	l -> n / # _	# l	# n	2	l a b j o p l ɔ l / n a b j o p l ɔ l
351	l -> n / # _ V C	# l V C	# n @3 @4	1	l a b j o p l ɔ l / n a b j o p l ɔ l
352	l -> n / # _ V N	# l V N	# n @3 @4	2	l a m b r i ŋ / n a m b r i ŋ
353	l -> n / # _ V b	# l V b	# n @3 b	2	l a b j o p l ɔ l / n a b j o p l ɔ l
354	l -> n / V _ #	V l #	@1 n #	1	d j u d ẽ l / d j u d ẽ n
355	l -> n / _ #	l #	n #	1	d j u d ẽ l / d j u d ẽ n
356	l -> ɾ / C _	C l	@1 ɾ	1	b o n b j a r i b l i / b o n b j a r i b ɾ i
357	l -> ɾ / V _ V	V l V	@1 r @3	1	a k e l e j a p a / a k e ɾ e j a p a
358	l -> r / _ #	l #	r #	1	d j u d ẽ l / d j u d ẽ r
359	l -> r / b _	b l	b r	1	b o n b j a r i b l i / b o n b j a r i b r i
360	l -> s / _ k	l k	s k	1	l i l k aː r kʷ a / l i s k aː r kʷ a
361	l -> w / ɔ|ɑ _	ɔ|ɑ l	@1 w	1	l a b j o p l ɔ l / l a b j o p l ɔ w
362	l -> w / V _ C V	V l C V	@1 w @3 @4	1	i l b i r m a / i w b i r m a
363	l -> w / V _ s	V l s	@1 w s	1	m i ŋ a l s / m i ŋ a w s
364	l -> :null: / _ m|s|k	l m|s|k	@2	1	l i l k aː r kʷ a / l i k aː r kʷ a
365	l -> lˠ / V _ V	V l V	@1 lˠ @3	6	a k e l e j a p a / a k e lˠ e j a p a
366	l -> ɬ / _ t|d	l t|d	ɬ @2	1	dz i ẽ l d / dz i ẽ ɬ d
367	l -> ɭ / V _ #	V l #	@1 ɭ #	1	d j u d ẽ l / d j u d ẽ ɭ
368	l -> ɾ / V _ V	V l V	@1 ɾ @3	4	a k e l e j a p a / a k e ɾ e j a p a
369	l -> ʎ / # _	# l	# ʎ	4	l a b j o p l ɔ l / ʎ a b j o p l ɔ l
370	l -> ʎ / _ i|j	l i|j	ʎ @2	5	b o n b j a r i b l i / b o n b j a r i b ʎ i
371	l -> tʃ / _ o|E	l o|E	tʃ @2	1	a k e l e j a p a / a k e tʃ e j a p a
372	m -> f / _ n|ŋ	m n|ŋ	f @2	1	k a m n ɔː h / k a f n ɔː h
373	m -> h / _ p	m p	h p	1	m ã v i m p u / m ã v i h p u
374	m -> n / V _	V m	@1 n	1	a b ts a r i m b s u / a b ts a r i n b s u
375	m -> n / V _ #	V m #	@1 n #	1	a p m b i r o m / a p m b i r o n
376	m -> n / _ #	m #	n #	2	a p m b i r o m / a p m b i r o n
377	m -> n / _ f	m f	n f	2	n aː h i m f / n aː h i n f
378	m -> n / _ i	m i	n i	1	a k a n k m i k s / a k a n k n i k s
379	m -> w / # _ V	# m V	# w @3	3	m a g h i / w a g h i
380	m -> w / B _ #	B m #	@1 w #	1	a p m b i r o m / a p m b i r o w
381	m -> w / V _ #	V m #	@1 w #	1	a p m b i r o m / a p m b i r o w
382	m -> w / _ B	m B	w @2	1	a m u f a u / a w u f a u
383	m -> w / _ ã	m ã	w ã	1	m ã v i m p u / w ã v i m p u
384	m p -> pː / V _ V	V m p V	@1 pː @4	1	m ã v i m p u / m ã v i pː u
385	n -> l / # _	# n	# l	1	n aː h i m f / l aː h i m f
386	n -> m / # _	# n	# m	2	n aː h i m f / m aː h i m f
387	n -> m / u _ V	u n V	u m @3	1	i n ɾ u n o / i n ɾ u m o
388	n ɾ > r	n ɾ	r	1	i n ɾ u n o / i r u n o
389	n -> r / g|p _	g|p n	@1 r	1	m a g n o g / m a g r o g
390	n -> t / # _	# n	# t	1	n aː h i m f / t aː h i m f
391	n -> :null: / _ r|ɾ	n r|ɾ	@2	1	i n ɾ u n o / i ɾ u n o
392	n -> :null: / _ s	n s	s	10	a n t i n s / a n t i s
393	n s -> z	n s	z	10	a n t i n s / a n t i z
394	n -> :null: / _ s #	n s #	s #	1	a n t i n s / a n t i s
395	n -> :null: / _ t	n t	t	1	a n t i n s / a t i n s
396	n -> :null: / _ t i	n t i	t i	1	a n t i n s / a t i n s
397	n -> :null: / _ f|v|s	n f|v|s	@2	1	a n t i n s / a n t i s
398	n -> :null: / _ s|ts	n s|ts	@2	1	a n t i n s / a n t i s
399	n -> ð / _ ã|ẽ|õ	n ã|ẽ|õ	ð @2	1	ð ẽ n ã n / ð ẽ ð ã n
400	ð -> n / _ ã|ẽ|õ	ð ã|ẽ|õ	n @2	7	ð ẽ n ã n / n ẽ n ã n
401	n -> ŋ / _ #	n #	ŋ #	3	a k θ u n / a k θ u ŋ
402	n -> ŋ / _ j|w	n j|w	ŋ @2	1	n w a n ũ i n a / ŋ w a n ũ i n a
403	n -> ŋ / _ k|g	n k|g	ŋ @2	3	a k a n k m i k s / a k a ŋ k m i k s
404	n -> ŋ / _ ũ	n ũ	ŋ ũ	1	n w a n ũ i n a / n w a ŋ ũ i n a
405	n -> ɲ / _ E 	n E	ɲ @2	1	d n i c t r i a / d ɲ i c t r i a
406	n -> ɲ / i _ o|a	i n o|a	i ɲ @3	1	n w a n ũ i n a / n w a n ũ i ɲ a
407	n -> ɲ / i|ɪ _ V	i|ɪ n V	@1 ɲ @3	1	k i n aː k t / k i ɲ aː k t
408	n -> ɲ / ɟ _	ɟ n	ɟ ɲ	1	i n m a ɟ n ɔ / i n m a ɟ ɲ ɔ
409	n -> θ / _ m|ŋ	n m|ŋ	θ @2	1	i n m a ɟ n ɔ / i θ m a ɟ n ɔ
410	n -> θ / _ ã|ẽ|õ	n ã|ẽ|õ	θ @2	1	ð ẽ n ã n / ð ẽ θ ã n
411	o -> a / _ C a	o C a	a @2 a	2	o k a v o u / a k a v o u
412	o -> a / _ u	o u	a u	1	o k a v o u / o k a v a u
413	o -> e / _ #	o #	e #	1	i m l i m k o / i m l i m k e
414	o -> e / _ l	o l	e l	1	s o l o s / s e l o s
415	o -> e / _ s	o s	e s	2	s o l o s / s o l e s
416	o -> e / _ ŋ	o ŋ	e ŋ	1	a g r o ŋ g / a g r e ŋ g
417	o -> w / V _	V o	@1 w	1	o a l a o v r i q / o a l a w v r i q
418	o -> u / _ #	o #	u #	5	i m l i m k o / i m l i m k u
419	o -> u / _ N	o N	u @2	2	a g r o ŋ g / a g r u ŋ g
420	o -> u / _ a	o a	u a	1	o a l a o v r i q / u a l a o v r i q
421	o -> :null: / _ C r	o C r	@2 r	1	o a l a o v r i q / o a l a v r i q
422	o -> :null: / _ u	o u	u	2	o k a v o u / o k a v u
423	o -> :null: / u _	u o	u	1	u o b o ɾ o ɣ oː / u b o ɾ o ɣ oː
424	o -> ɔ / _ N	o N	ɔ @2	1	a g r o ŋ g / a g r ɔ ŋ g
425	o i -> ɔː	o i	ɔː	1	i k u l o i / i k u l ɔː
426	o -> ə / _ n	o n	ə n	1	b o n b j a r i b l i / b ə n b j a r i b l i
427	o -> ʌ / P _ r|ɾ	P o r|ɾ	@1 ʌ @3	1	u o b o ɾ o ɣ oː / u o b ʌ ɾ o ɣ oː
428	o ɣ -> ɔ w / _ V	o ɣ V	ɔ w @3	4	u o b o ɾ o ɣ oː / u o b o ɾ ɔ w oː
429	oː -> u / _ #	oː #	u #	2	u o b o ɾ o ɣ oː / u o b o ɾ o ɣ u
430	p -> b / V _ V	V p V	@1 b @3	3	a k e l e j a p a / a k e l e j a b a
431	p -> b / _ l	p l	b l	1	l a b j o p l ɔ l / l a b j o b l ɔ l
432	p -> b / _ r|ɾ	p r|ɾ	b @2	1	p r i p w u p / b r i p w u p
433	p -> b / m _	m p	m b	4	m ã v i m p u / m ã v i m b u
434	p -> f / # _	# p	# f	2	p e r e ʔ e t / f e r e ʔ e t
435	p -> f / V _	V p	@1 f	2	a k e l e j a p a / a k e l e j a f a
436	p -> f / _ t|k	p t|k	f @2	1	a s p t i s / a s f t i s
437	p -> f / V|# _	V|# p	@1 f	1	a k e l e j a p a / a k e l e j a f a
438	p -> h / # _	# p	# h	1	p e r e ʔ e t / h e r e ʔ e t
439	p -> h / _ o|u|w	p o|u|w	h @2	1	m ã v i m p u / m ã v i m h u
440	p -> k / _ C	p C	k @2	1	a p m b i r o m / a k m b i r o m
441	p -> k / _ w	p w	k w	2	p r i p w u p / p r i k w u p
442	p -> k / u _ #	u p #	u k #	1	p r i p w u p / p r i p w u k
443	p -> v / V _ V	V p V	@1 v @3	1	a k e l e j a p a / a k e l e j a v a
444	p -> v / V n _	V n p	@1 n v	1	o n p s iː ʃ r a / o n v s iː ʃ r a
445	p -> v / _ #	p #	v #	2	p r i p w u p / p r i p w u v
446	p -> w / V _ V	V p V	@1 w @3	1	a k e l e j a p a / a k e l e j a w a
447	p -> w / _ B	p B	w @2	1	m ã v i m p u / m ã v i m w u
448	p -> :null: / _ #	p #	#	1	p r i p w u p / p r i p w u
449	p -> :null: / _ B	p B	@2	1	m ã v i m p u / m ã v i m u
450	p -> :null: / _ f	p f	f	1	p f o p t a / f o p t a
451	p -> :null: / _ s	p s	s	1	o n p s iː ʃ r a / o n s iː ʃ r a
452	p -> :null: / _ u	p u	u	1	m ã v i m p u / m ã v i m u
453	p -> :null: / s _ t	s p t	s t	1	a s p t i s / a s t i s
454	q -> h / _ #	q #	h #	1	o a l a o v r i q / o a l a o v r i h
455	r -> d / # _	# r	# d	2	r a h ts i v m l e / d a h ts i v m l e
456	r -> a d / k _ 	k r	k a d	1	k r a s r e x r i / k a d a s r e x r i
457	r -> d / s _	s r	s d	1	a h s r i r / a h s d i r
458	r -> d / x _	x r	x d	1	k r a s r e x r i / k r a s r e x d i
459	r -> h / C _	C r	@1 h	5	a g r o ŋ g / a g h o ŋ g
460	r -> h / s _	s r	s h	1	a h s r i r / a h s h i r
461	r -> h / ʃ _	ʃ r	ʃ h	1	o n p s iː ʃ r a / o n p s iː ʃ h a
462	r -> j / _ #	r #	j #	1	a h s r i r / a h s r i j
463	r|ɾ -> l / K _	K r|ɾ	@1 l	1	a g r o ŋ g / a g l o ŋ g
464	r|ɾ -> l / _ #	r|ɾ #	l #	1	a h s r i r / a h s r i l
465	r|ɾ -> l / _ V l	r|ɾ V l	l @2 l	1	o r k a ɾ iː l / o r k a l iː l
466	r|ɾ -> n / _ C	r|ɾ C	n @2	1	i k ʔ e r j a / i k ʔ e n j a
467	r|ɾ N -> rː	r|ɾ N	rː	6	i l b i r m a / i l b i rː a
468	r -> s / _ k	r k	s k	2	o r k a ɾ iː l / o s k a ɾ iː l
469	r -> :null: / _ s	r s	s	1	u r s o r n i / u s o r n i
470	r -> t / _ n	r n	t n	1	u r s o r n i / u r s o t n i
471	r -> t / _ i|u	r i|u	t @2	1	a b ts a r i m b s u / a b ts a t i m b s u
472	r -> ð / x _	x r	x ð	1	k r a s r e x r i / k r a s r e x ð i
473	r -> ɾ / _ #	r #	ɾ #	1	a h s r i r / a h s r i ɾ
474	r -> ts / _ i	r i	ts i	1	a b ts a r i m b s u / a b ts a ts i m b s u
475	s -> f / h _ r	h s r	h f r	1	a h s r i r / a h f r i r
476	s -> h / # _	# s	# h	9	s a s k a / h a s k a
477	s -> h / V _ V	V s V	@1 h @3	11	e a s e / e a h e
478	s -> h / _ #	s #	h #	1	a k a n k m i k s / a k a n k m i k h
479	s -> h / _ i	s i	h i	1	d r e d s i n d / d r e d h i n d
480	s -> n / # _	# s	# n	1	s a s k a / n a s k a
481	s -> r / # _	# s	# r	1	s a s k a / r a s k a
482	s -> t / # _	# s	# t	1	s a s k a / t a s k a
483	s -> t / _ #	s #	t #	2	a k a n k m i k s / a k a n k m i k t
484	s -> x / _ l	s l	x l	1	s θ i s l a / s θ i x l a
485	s -> x / i _	i s	i x	1	a s p t i s / a s p t i x
486	s -> z / V _ V	V s V	@1 z @3	20	e a s e / e a z e
487	s -> z / _ C[+voiced]	s C[+voiced]	z @2	1	a h s r i r / a h z r i r
488	s -> z / _ N|l|r	s N|l|r	z @2	1	a h s r i r / a h z r i r
489	s -> ɟ / # _	# s	# ɟ	2	s a s k a / ɟ a s k a
490	s -> ɾ / _ θ	s θ	ɾ θ	1	s θ i s l a / ɾ θ i s l a
491	s -> ʂ / _ n	s n	ʂ n	1	s i a s n u s i / s i a ʂ n u s i
492	s -> ʂ / _ t	s t	ʂ t	1	u b s t i m b l a / u b ʂ t i m b l a
493	s -> ʂ / _ t|r	s t|r	ʂ @1	1	a h s r i r / a h ʂ r i r
494	s -> ʃ / V _ V	V s V	@1 ʃ @3	1	e a s e / e a ʃ e
495	s -> ʃ / _ i	s i	ʃ i	1	d r e d s i n d / d r e d ʃ i n d
496	s -> ʃ / _ i V	s i V	ʃ i @3	1	s i a s n u s i / ʃ i a s n u s i
497	s -> ʃ / _ n	s n	ʃ n	2	s i a s n u s i / s i a ʃ n u s i
498	s -> ʃ / _ i|e	s i|e	ʃ @2	1	d r e d s i n d / d r e d ʃ i n d
499	s -> ʃ / i _	i s	i ʃ	1	a s p t i s / a s p t i ʃ
500	s -> ʃ / i _ #	i s #	i ʃ #	1	a s p t i s / a s p t i ʃ
501	s -> dʒ / i|u _ V	i|u s V	@1 dʒ @3	4	s i a s n u s i / s i a s n u dʒ i
502	s -> tʃ / # _ a	# s a	# tʃ a	1	s a s k a / tʃ a s k a
503	s k -> kː / _ a	s k a	kː a	2	s a s k a / s a kː a
504	s k -> ʃ / # _	# s k	# ʃ	1	s k i t r a t n i / ʃ i t r a t n i
505	s k -> ʃ / V _ i|e	V s k i|e	@1 ʃ @4	1	t i t a s k i / t i t a ʃ i
506	t -> c / _ E	t E	c @2	1	a n t i n s / a n c i n s
507	t -> d / # _	# t	# d	4	t a n ɛ / d a n ɛ
508	t -> d / V _	V t	@1 d	1	a t k a t ʔ i / a d k a d ʔ i
509	t -> d / V _ r V	V t r V	@1 d r @4	1	s k i t r a t n i / s k i d r a t n i
510	t -> d / r _	r t	r d	1	t u r t l e / t u r d l e
511	t -> h / _ N	t N	h @2	1	s k i t r a t n i / s k i t r a h n i
512	t -> j / # _ i	# t i	# j i	1	t i t a s k i / j i t a s k i
513	t -> k / _ j	t j	k j	2	j u t j a ts i / j u k j a ts i
514	t -> k / _ l	t l	k l	1	t u r t l e / t u r k l e
515	t -> k / _ r	t r	k r	1	d n i c t r i a / d n i c k r i a
516	t -> l / V _ V	V t V	@1 l @3	2	t i t a s k i / t i l a s k i
517	t -> l / _ V	t V	l @2	1	a n t i n s / a n l i n s
518	t -> l / _ u|i	t u|i	l @2	1	a n t i n s / a n l i n s
519	t -> r / _ V	t V	r @2	1	a n t i n s / a n r i n s
520	t -> r / t V _	t V t	t @2 r	1	t i t a s k i / t i r a s k i
521	t -> s / # _ i	# t i	# s i	1	t i t a s k i / s i t a s k i
522	t -> s / _ #	t #	s #	1	k i n aː k t / k i n aː k s
523	t -> s / _ V	t V	s @2	1	a n t i n s / a n s i n s
524	t -> s / _ i	t i	s i	3	a n t i n s / a n s i n s
525	t -> s / _ u	t u	s u	1	t u r t l e / s u r t l e
526	t -> s / _ k|q	t k|q	s @2	3	a t k a t ʔ i / a s k a t ʔ i
527	t -> s / _ N	t N	s @2	1	s k i t r a t n i / s k i t r a s n i
528	t -> s / _ i|u	t u|i	s @2	1	a n t i n s / a n s i n s
529	t -> s / i _	i t	i s	2	s k i t r a t n i / s k i s r a t n i
530	t -> tɬ / _ a|u 	t a|u	tɬ @2	1	c u a c t a / c u a c tɬ a
531	t -> ŋ / a _	a t	a ŋ	1	a t k a t ʔ i / a ŋ k a ŋ ʔ i
532	t -> ɾ / _ a	t a	ɾ a	1	c u a c t a / c u a c ɾ a
533	t -> ʃ / _ E	t E	ʃ @2	1	a n t i n s / a n ʃ i n s
534	t -> ʃ / _ i|ĩ	t i|ı̃	ʃ @2	1	a n t i n s / a n ʃ i n s
535	t -> ʃ / _ ʔ	t ʔ	ʃ ʔ	1	a t k a t ʔ i / a t k a ʃ ʔ i
536	t -> ʃ / i _ i	i t i	i ʃ i	1	w i t i k / w i ʃ i k
537	t -> ʈ / _ r	t r	ʈ r	1	d n i c t r i a / d n i c ʈ r i a
538	t -> ʔ / V _ V	V t V	@1 ʔ @3	1	t i t a s k i / t i ʔ a s k i
539	t -> ʔ / _ #	t #	ʔ #	1	k i n aː k t / k i n aː k ʔ
540	t -> ts / _ i	t i	ts i	8	a n t i n s / a n ts i n s
541	t -> ts / _ i|e	t i|e	ts @2	1	a n t i n s / a n ts i n s
542	t -> ts / _ i|ĩ	t i|ı̃	ts @2	2	a n t i n s / a n ts i n s
543	t -> ts / _ ʔ	t ʔ	ts ʔ	2	a t k a t ʔ i / a t k a ts ʔ i
544	t -> tʃ / _ #	t #	tʃ #	1	k i n aː k t / k i n aː k tʃ
545	t -> tʃ / _ E	t E	tʃ @2	1	a n t i n s / a n tʃ i n s
546	t -> tʃ / _ i|ĩ	t i|ı̃	tʃ @2	5	a n t i n s / a n tʃ i n s
547	t -> tʃ / n _	n t	n tʃ	1	a n t i n s / a n tʃ i n s
548	t -> θ / _ p|k	t p|k	θ @2	1	a t k a t ʔ i / a θ k a t ʔ i
549	tʰ -> d / _ #	tʰ #	d #	1	tʰ u tʰ r a tʰ / tʰ u tʰ r a d
550	tʰ -> s / # _ u	# tʰ u	# s u	1	tʰ u tʰ r a tʰ / s u tʰ r a tʰ
551	tʰ -> :null: / _ r	tʰ r	r	1	tʰ u tʰ r a tʰ / tʰ u r a tʰ
552	tʰ -> ts / _ i	tʰ i	ts i	1	tʰ i tʲ u / ts i tʲ u
553	tʲ -> s / _ V	tʲ V	s @2	1	tʰ i tʲ u / tʰ i s u
554	tʲ -> s / _ u	tʲ u	s u	1	tʰ i tʲ u / tʰ i s u
555	tʲ -> t / _ a	tʲ a	t a	1	tʲ a θ u k / t a θ u k
556	u -> a / _ k	u k	a k	1	tʲ a θ u k / tʲ a θ a k
557	u -> :null: / a _	a u	a	2	a m u f a u / a m u f a
558	u -> e / _ θ	u θ	e θ	1	ŋ æ t u θ u j / ŋ æ t e θ u j
559	u -> e / θ|ɣ _	θ|ɣ u	@1 e	1	a k θ u n / a k θ e n
560	u j -> i	u j	i	1	z u j z l o / z i z l o
561	u -> i / _ r|s	u r|s	i @2	1	s b u r h i / s b i r h i
562	u -> o / _ #	u #	o #	1	a b ts a r i m b s u / a b ts a r i m b s o
563	u -> o / _ C a	u C a	o @2 a	1	a m u f a u / a m o f a u
564	u -> o / _ K	u K	o @2	1	i j u x i / i j o x i
565	u -> o / _ k	u k	o k	1	tʲ a θ u k / tʲ a θ o k
566	u -> o / _ k #	u k #	o k #	1	tʲ a θ u k / tʲ a θ o k
567	u -> o / _ m #	u m #	o m #	2	ʕ u b i u m / ʕ u b i o m
568	u -> o / _ p	u p	o p	1	p r i p w u p / p r i p w o p
569	u -> o / _ p|b i	u p|b i	o @2 i	2	ʕ u b i u m / ʕ o b i u m
570	u -> o / _ ʕ|ɣ|x|r	u ʕ|ɣ|x|r	o @2	1	i j u x i / i j o x i
571	u -> o / ʕ|ɣ|x|r _	ʕ|ɣ|x|r u	@1 o	1	ʕ u b i u m / ʕ o b i u m
572	u -> w / _ a	u a	w a	10	c u a c t a / c w a c t a
573	u -> w ə / # _	# u	# w ə	1	u b s t i m b l a / w ə b s t i m b l a
574	u -> :null: / _ o	u o	o	2	u o b o ɾ o ɣ oː / o b o ɾ o ɣ oː
575	u -> :null: / a _	a u	a	1	a m u f a u / a m u f a
576	j u -> i w	j u	i w	4	d j u d ẽ l / d i w d ẽ l
577	e -> :null: / u _ C	u e C	u @3	1	u v u e v s / u v u v s
578	u -> o / _ j #	u j #	o j #	1	ŋ æ t u θ u j / ŋ æ t u θ o j
579	u m -> ũ / _ #	u m #	ũ #	1	ʕ u b i u m / ʕ u b i ũ
580	V N -> @1[+nasalized] / _ C	V N C	@1[+nasalized] @3	20	a b ts a r i m b s u / a b ts a r ĩ b s u
581	v -> b / # _	# v	# b	10	v i h r w a / b i h r w a
582	v -> b / _ r	v r	b r	2	o a l a o v r i q / o a l a o b r i q
583	v -> f / _ C	v C	f @2	1	o a l a o v r i q / o a l a o f r i q
584	v -> f / _ s	v s	f s	1	u v u e v s / u v u e f s
585	v -> m / # _ V	# v V	# m @3	1	v i h r w a / m i h r w a
586	v -> p / # _	# v	# p	1	v i h r w a / p i h r w a
587	v -> p / _ s	v s	p s	3	u v u e v s / u v u e p s
588	w -> v / V _ V	V w V	@1 v @3	20	b a w o g aː j / b a v o g aː j
589	v -> u / V _ V	V v V	@1 u @3	1	e v e m i e / e u e m i e
590	v -> w / # _	# v	# w	2	v i h r w a / w i h r w a
591	u v -> w / _ V	u v V	w @3	1	u v a u v i x v o / w a u v i x v o
592	v -> :null: / u _ a	u v a	u a	1	u v a u v i x v o / u a u v i x v o
593	v -> :null: / u _ i	u v i	u i	2	u v a u v i x v o / u v a u i x v o
594	v -> :null: / x _ o	x v o	x o	1	u v a u v i x v o / u v a u v i x o
595	v -> :null: / t|d _	t|d v	@1	3	u w iː d v j u / u w iː d j u
596	v -> :null: / aː|oː|uː _	aː|oː|uː v	@1	1	t w a uː v / t w a uː
597	w -> b / # _	# w	# b	2	w a w r i x s / b a w r i x s
598	w -> b / C _	C w	@1 b	1	d w a j d ŋ e d / d b a j d ŋ e d
599	w -> b / V _ V 	V w V	@1 b @3	4	b a w o g aː j / b a b o g aː j
600	w -> b / i _ #	i w #	i b #	1	l a i l i w / l a i l i b
601	w -> f / # _	# w	# f	1	w a w r i x s / f a w r i x s
602	w -> j / _ i	w i	j i	1	i b n a i w i / i b n a i j i
603	w -> m / # _	# w	# m	1	w a w r i x s / m a w r i x s
604	w -> m / _ u	w u	m u	1	b i a w u b / b i a m u b
605	w -> m / u _	u w	u m	2	u w iː d v j u / u m iː d v j u
606	w -> p / _ t	w t	p t	1	k w a h o w t / k w a h o p t
607	w -> u / t _ V	t w V	t u @3	1	t w a uː v / t u a uː v
608	w -> v / # _	# w	# v	1	w a w r i x s / v a w r i x s
609	w -> v / V _	V w	@1 v	1	b a w o g aː j / b a v o g aː j
610	w -> v / _ #	w #	v #	1	l a i l i w / l a i l i v
611	w -> :null: / # _	# w	#	4	w a w r i x s / a w r i x s
612	w -> :null: / # _ i	# w i	# i	1	w i t i k / i t i k
613	w -> :null: / # k _ V	# k w V	# k @4	1	k w a h o w t / k a h o w t
614	w -> :null: / V _ V	V w V	@1 @3	1	b a w o g aː j / b a o g aː j
615	w -> :null: / V _ V|#	V w V|#	@1 @3	1	b a w o g aː j / b a o g aː j
616	w -> :null: / _ o	w o	o	2	b a w o g aː j / b a o g aː j
617	w -> :null: / _ t	w t	t	2	k w a h o w t / k w a h o t
618	w -> :null: / _ o|i|õ|ĩ	w o|i|õ|ı̃	@2	1	b a w o g aː j / b a o g aː j
619	w -> :null: / _ r|#	w r|#	@2	1	l a i l i w / l a i l i
620	w -> :null: / _ r	w r	@2	1	w a w r i x s / w a r i x s
621	w -> :null: / i _ #	i w #	i #	2	l a i l i w / l a i l i
622	w -> :null: / k _ a	k w a	k a	1	k w a h o w t / k a h o w t
623	w a -> o / # _	# w a	# o	1	w a w r i x s / o w r i x s
624	w a -> u / # _	# w a	# u	1	w a w r i x s / u w r i x s
625	w e -> o / # _	# w e	# o	1	w e p w i b y k / o p w i b y k
626	w i -> o / C _	C w i	@1 o	4	w e p w i b y k / w e p o b y k
627	x -> k / _ s	x s	k s	1	w a w r i x s / w a w r i k s
628	x -> s / _ k	x k	s k	1	a z a x k y r / a z a s k y r
629	x -> ç / _ i|u	x i|u	ç @2	1	i j u x i / i j u ç i
630	x -> ɕ / E _	E x	@1 ɕ	1	a z a x k y r / a z a ɕ k y r
631	y -> u / P _ C	P y C	@1 u @3	1	w e p w i b y k / w e p w i b u k
632	y -> ə / _ r	y r	ə r	1	a z a x k y r / a z a x k ə r
633	z -> d / V _	V z	@1 d	4	a z a x k y r / a d a x k y r
634	z -> d / V j _	V j z	@1 j d	1	z u j z l o / z u j d l o
